insurer_license_plate,n_claims,fraud_rate
PLT101220,12,0.25
PLT101221,2,0.0
PLT101234,1,0.0
PLT101235,6,0.16666666666666666
PLT101239,1,0.0
PLT101246,1,1.0
PLT101250,9,0.1111111111111111
PLT101251,1,0.0
PLT101256,1,0.0
PLT101261,10,0.1
PLT101266,1,0.0
PLT101267,2,0.0
PLT101270,2,0.0
PLT101271,1,0.0
PLT101275,1,0.0
PLT101277,7,0.14285714285714285
PLT101285,1,0.0
PLT101298,1,0.0
PLT101309,8,0.125
PLT101312,1,0.0
PLT101317,1,0.0
PLT101327,1,0.0
PLT101336,1,0.0
PLT101342,2,0.0
PLT101356,6,0.0
PLT101364,1,0.0
PLT101380,1,0.0
PLT101381,1,1.0
PLT101389,2,0.0
PLT101396,1,0.0
PLT101397,9,0.2222222222222222
PLT101398,1,0.0
PLT101400,1,0.0
PLT101403,11,0.09090909090909091
PLT101405,11,0.36363636363636365
PLT101412,1,0.0
PLT101414,8,0.125
PLT101416,8,0.25
PLT101418,1,0.0
PLT101423,1,0.0
PLT101430,1,0.0
PLT101435,21,0.047619047619047616
PLT101436,15,0.06666666666666667
PLT101437,1,0.0
PLT101439,1,0.0
PLT101440,1,0.0
PLT101441,2,0.0
PLT101444,2,0.0
PLT101446,12,0.08333333333333333
PLT101451,1,0.0
PLT101456,1,0.0
PLT101461,1,0.0
PLT101466,1,1.0
PLT101467,1,0.0
PLT101472,1,0.0
PLT101494,1,0.0
PLT101500,1,0.0
PLT101504,1,1.0
PLT101510,1,0.0
PLT101512,1,0.0
PLT101513,1,0.0
PLT101516,1,0.0
PLT101518,1,0.0
PLT101526,1,0.0
PLT101536,1,0.0
PLT101543,1,0.0
PLT101545,1,0.0
PLT101546,1,0.0
PLT101547,1,0.0
PLT101551,2,0.0
PLT101553,1,0.0
PLT101554,10,0.5
PLT101555,1,0.0
PLT101561,1,0.0
PLT101567,1,0.0
PLT101568,13,0.07692307692307693
PLT101569,1,0.0
PLT101570,1,0.0
PLT101574,8,0.125
PLT101576,1,1.0
PLT101583,1,0.0
PLT101584,1,0.0
PLT101588,1,0.0
PLT101589,1,0.0
PLT101594,1,0.0
PLT101596,1,0.0
PLT101597,10,0.1
PLT101599,1,0.0
PLT101601,1,0.0
PLT101603,1,0.0
PLT101604,6,0.16666666666666666
PLT101612,1,0.0
PLT101618,1,0.0
PLT101620,8,0.125
PLT101631,1,0.0
PLT101639,1,0.0
PLT101642,3,0.0
PLT101643,1,0.0
PLT101653,1,0.0
PLT101660,1,0.0
PLT101663,1,0.0
PLT101668,1,0.0
PLT101670,1,0.0
PLT101681,1,0.0
PLT101692,11,0.09090909090909091
PLT101694,1,0.0
PLT101700,1,0.0
PLT101707,1,0.0
PLT101713,7,0.42857142857142855
PLT101722,1,0.0
PLT101724,1,0.0
PLT101735,1,0.0
PLT101744,1,0.0
PLT101746,1,0.0
PLT101766,1,0.0
PLT101772,1,0.0
PLT101773,1,0.0
PLT101774,1,0.0
PLT101775,1,0.0
PLT101776,1,0.0
PLT101779,1,0.0
PLT101781,7,0.0
PLT101783,1,0.0
PLT101796,10,0.2
PLT101799,1,0.0
PLT101802,3,0.6666666666666666
PLT101808,2,0.0
PLT101812,9,0.2222222222222222
PLT101839,1,0.0
PLT101840,1,0.0
PLT101847,1,0.0
PLT101863,1,0.0
PLT101865,1,0.0
PLT101870,1,0.0
PLT101874,1,0.0
PLT101877,1,0.0
PLT101879,1,0.0
PLT101884,1,0.0
PLT101887,1,0.0
PLT101889,2,0.0
PLT101892,9,0.1111111111111111
PLT101895,13,0.0
PLT101899,1,0.0
PLT101906,1,0.0
PLT101920,2,0.0
PLT101924,1,0.0
PLT101926,16,0.1875
PLT101930,1,0.0
PLT101938,5,0.0
PLT101939,8,0.0
PLT101944,1,0.0
PLT101945,1,0.0
PLT101946,1,0.0
PLT101955,1,0.0
PLT101959,1,0.0
PLT101960,1,0.0
PLT101972,7,0.0
PLT101973,2,0.0
PLT101975,1,0.0
PLT101977,1,0.0
PLT101978,2,0.0
PLT101980,1,1.0
PLT101983,9,0.0
PLT101984,9,0.1111111111111111
PLT101988,1,0.0
PLT101993,1,0.0
PLT101996,1,1.0
PLT102012,1,0.0
PLT102018,13,0.07692307692307693
PLT102023,12,0.16666666666666666
PLT102024,1,0.0
PLT102026,1,0.0
PLT102028,1,0.0
PLT102030,1,0.0
PLT102034,14,0.14285714285714285
PLT102035,7,0.0
PLT102038,1,1.0
PLT102045,1,0.0
PLT102055,1,0.0
PLT102064,7,0.0
PLT102071,18,0.2777777777777778
PLT102072,1,0.0
PLT102073,2,0.5
PLT102075,1,0.0
PLT102076,9,0.2222222222222222
PLT102077,1,0.0
PLT102081,1,0.0
PLT102089,1,0.0
PLT102097,1,0.0
PLT102101,1,0.0
PLT102109,1,0.0
PLT102116,1,0.0
PLT102117,1,0.0
PLT102121,13,0.3076923076923077
PLT102124,5,0.0
PLT102128,8,0.375
PLT102130,1,1.0
PLT102141,1,0.0
PLT102149,1,0.0
PLT102166,11,0.09090909090909091
PLT102184,1,0.0
PLT102186,1,0.0
PLT102196,1,0.0
PLT102198,14,0.14285714285714285
PLT102199,1,0.0
PLT102203,1,0.0
PLT102206,1,0.0
PLT102218,1,0.0
PLT102223,1,0.0
PLT102230,1,0.0
PLT102242,1,0.0
PLT102257,7,0.14285714285714285
PLT102261,1,0.0
PLT102262,1,0.0
PLT102267,1,0.0
PLT102270,1,0.0
PLT102285,1,0.0
PLT102286,8,0.125
PLT102292,10,0.1
PLT102295,1,0.0
PLT102296,1,0.0
PLT102304,1,0.0
PLT102309,1,0.0
PLT102310,1,0.0
PLT102312,1,0.0
PLT102313,1,0.0
PLT102321,2,0.0
PLT102323,8,0.125
PLT102332,1,0.0
PLT102339,1,0.0
PLT102341,8,0.0
PLT102345,1,0.0
PLT102347,1,0.0
PLT102350,2,0.0
PLT102352,1,0.0
PLT102354,8,0.25
PLT102357,1,0.0
PLT102361,1,1.0
PLT102370,1,0.0
PLT102372,11,0.18181818181818182
PLT102376,11,0.18181818181818182
PLT102380,1,0.0
PLT102384,7,0.14285714285714285
PLT102386,1,0.0
PLT102398,4,0.0
PLT102399,1,0.0
PLT102401,2,0.0
PLT102402,1,0.0
PLT102419,1,0.0
PLT102422,2,0.0
PLT102431,12,0.25
PLT102436,1,0.0
PLT102437,1,0.0
PLT102438,1,0.0
PLT102439,1,0.0
PLT102441,1,0.0
PLT102451,9,0.1111111111111111
PLT102454,2,0.0
PLT102455,1,0.0
PLT102463,1,0.0
PLT102467,1,0.0
PLT102470,1,0.0
PLT102476,1,0.0
PLT102477,2,0.0
PLT102482,11,0.18181818181818182
PLT102484,1,0.0
PLT102492,2,0.0
PLT102494,2,0.0
PLT102502,15,0.13333333333333333
PLT102504,10,0.2
PLT102508,1,0.0
PLT102515,1,0.0
PLT102521,8,0.125
PLT102523,1,0.0
PLT102536,1,0.0
PLT102542,5,0.4
PLT102543,1,0.0
PLT102545,5,0.0
PLT102550,7,0.0
PLT102564,1,0.0
PLT102567,7,0.14285714285714285
PLT102573,1,0.0
PLT102577,1,0.0
PLT102578,1,0.0
PLT102585,1,0.0
PLT102600,10,0.1
PLT102604,1,0.0
PLT102616,1,0.0
PLT102624,1,0.0
PLT102625,1,0.0
PLT102634,1,1.0
PLT102644,1,0.0
PLT102647,1,1.0
PLT102654,1,1.0
PLT102657,1,0.0
PLT102660,1,0.0
PLT102661,11,0.09090909090909091
PLT102665,1,0.0
PLT102675,12,0.08333333333333333
PLT102678,1,0.0
PLT102683,1,0.0
PLT102698,1,1.0
PLT102711,14,0.35714285714285715
PLT102717,1,1.0
PLT102731,8,0.375
PLT102739,1,0.0
PLT102747,1,0.0
PLT102750,1,0.0
PLT102760,1,0.0
PLT102763,1,0.0
PLT102771,1,0.0
PLT102781,1,0.0
PLT102784,1,0.0
PLT102785,1,0.0
PLT102791,1,0.0
PLT102808,1,0.0
PLT102811,11,0.18181818181818182
PLT102814,1,0.0
PLT102818,9,0.1111111111111111
PLT102819,5,0.2
PLT102821,1,1.0
PLT102822,1,0.0
PLT102825,1,0.0
PLT102826,8,0.0
PLT102833,1,0.0
PLT102834,8,0.375
PLT102835,2,0.5
PLT102844,1,0.0
PLT102845,1,0.0
PLT102846,1,0.0
PLT102847,1,0.0
PLT102850,1,0.0
PLT102851,9,0.4444444444444444
PLT102857,1,0.0
PLT102860,1,0.0
PLT102865,2,0.0
PLT102879,10,0.1
PLT102881,1,0.0
PLT102886,12,0.0
PLT102889,1,0.0
PLT102890,1,0.0
PLT102905,1,0.0
PLT102909,1,0.0
PLT102914,12,0.16666666666666666
PLT102917,1,0.0
PLT102922,7,0.0
PLT102925,1,0.0
PLT102933,12,0.0
PLT102935,10,0.1
PLT102951,1,0.0
PLT102954,1,0.0
PLT102959,2,0.0
PLT102967,1,0.0
PLT102968,1,0.0
PLT102973,1,0.0
PLT102979,1,0.0
PLT102982,1,0.0
PLT102984,1,0.0
PLT102987,1,0.0
PLT103002,1,0.0
PLT103010,1,0.0
PLT103012,1,0.0
PLT103016,1,0.0
PLT103017,1,0.0
PLT103025,1,0.0
PLT103028,1,0.0
PLT103033,1,1.0
PLT103040,1,0.0
PLT103055,1,0.0
PLT103064,1,0.0
PLT103067,1,1.0
PLT103068,1,0.0
PLT103071,12,0.08333333333333333
PLT103075,1,0.0
PLT103081,1,0.0
PLT103090,1,0.0
PLT103091,1,1.0
PLT103095,1,0.0
PLT103100,9,0.3333333333333333
PLT103104,1,0.0
PLT103108,1,0.0
PLT103109,1,0.0
PLT103111,1,0.0
PLT103117,9,0.3333333333333333
PLT103124,1,0.0
PLT103125,1,0.0
PLT103128,1,0.0
PLT103133,1,0.0
PLT103135,2,0.0
PLT103148,1,1.0
PLT103152,1,0.0
PLT103162,1,0.0
PLT103177,2,0.0
PLT103180,1,0.0
PLT103183,1,0.0
PLT103197,1,0.0
PLT103199,3,0.0
PLT103201,1,0.0
PLT103202,1,0.0
PLT103204,1,1.0
PLT103213,1,0.0
PLT103219,1,0.0
PLT103231,1,0.0
PLT103234,1,0.0
PLT103239,1,0.0
PLT103240,1,0.0
PLT103244,1,0.0
PLT103245,2,0.0
PLT103247,9,0.0
PLT103250,1,0.0
PLT103256,8,0.0
PLT103262,9,0.1111111111111111
PLT103263,1,0.0
PLT103269,17,0.058823529411764705
PLT103273,2,0.0
PLT103274,1,0.0
PLT103281,12,0.16666666666666666
PLT103285,1,0.0
PLT103287,9,0.0
PLT103300,1,0.0
PLT103306,1,0.0
PLT103312,1,0.0
PLT103321,1,0.0
PLT103326,1,0.0
PLT103328,1,0.0
PLT103333,1,0.0
PLT103348,1,0.0
PLT103350,9,0.0
PLT103358,1,0.0
PLT103361,1,0.0
PLT103365,3,0.6666666666666666
PLT103370,1,0.0
PLT103379,1,0.0
PLT103382,1,1.0
PLT103383,1,0.0
PLT103386,2,0.0
PLT103395,11,0.09090909090909091
PLT103397,1,0.0
PLT103401,1,0.0
PLT103402,1,0.0
PLT103403,2,0.5
PLT103404,1,0.0
PLT103407,1,1.0
PLT103414,1,0.0
PLT103415,1,0.0
PLT103417,16,0.1875
PLT103428,1,0.0
PLT103444,10,0.2
PLT103447,1,0.0
PLT103450,1,0.0
PLT103453,1,0.0
PLT103454,3,0.0
PLT103459,1,1.0
PLT103464,1,0.0
PLT103472,1,0.0
PLT103475,1,1.0
PLT103476,2,0.5
PLT103477,8,0.125
PLT103482,1,0.0
PLT103486,1,1.0
PLT103490,1,0.0
PLT103492,9,0.1111111111111111
PLT103493,1,0.0
PLT103502,1,0.0
PLT103506,1,0.0
PLT103507,4,0.25
PLT103514,1,1.0
PLT103524,2,0.0
PLT103527,1,0.0
PLT103538,1,0.0
PLT103539,1,0.0
PLT103545,12,0.08333333333333333
PLT103547,1,0.0
PLT103563,12,0.16666666666666666
PLT103564,9,0.1111111111111111
PLT103570,1,0.0
PLT103573,1,0.0
PLT103575,1,0.0
PLT103576,1,0.0
PLT103577,1,0.0
PLT103581,5,0.0
PLT103584,1,1.0
PLT103588,1,0.0
PLT103589,1,0.0
PLT103600,1,0.0
PLT103604,1,0.0
PLT103617,1,0.0
PLT103618,1,0.0
PLT103620,16,0.125
PLT103624,1,0.0
PLT103632,1,0.0
PLT103641,1,0.0
PLT103648,1,0.0
PLT103649,1,0.0
PLT103651,1,0.0
PLT103655,1,0.0
PLT103656,9,0.1111111111111111
PLT103660,1,0.0
PLT103670,1,0.0
PLT103679,1,0.0
PLT103684,1,0.0
PLT103685,1,0.0
PLT103693,13,0.15384615384615385
PLT103702,1,0.0
PLT103705,1,1.0
PLT103708,1,0.0
PLT103711,1,0.0
PLT103720,1,0.0
PLT103723,1,0.0
PLT103726,1,0.0
PLT103731,1,0.0
PLT103737,1,1.0
PLT103745,2,0.0
PLT103746,1,0.0
PLT103754,1,0.0
PLT103759,7,0.0
PLT103763,1,0.0
PLT103764,1,0.0
PLT103766,2,0.5
PLT103768,1,0.0
PLT103769,1,0.0
PLT103776,1,0.0
PLT103780,1,1.0
PLT103781,1,0.0
PLT103783,1,0.0
PLT103795,1,0.0
PLT103797,1,0.0
PLT103799,9,0.1111111111111111
PLT103805,1,0.0
PLT103809,10,0.2
PLT103816,1,1.0
PLT103817,12,0.16666666666666666
PLT103821,1,0.0
PLT103822,1,0.0
PLT103826,7,0.0
PLT103832,1,0.0
PLT103842,5,0.0
PLT103849,1,1.0
PLT103851,1,0.0
PLT103854,1,0.0
PLT103870,1,1.0
PLT103873,1,0.0
PLT103879,11,0.18181818181818182
PLT103897,2,0.0
PLT103906,12,0.25
PLT103908,1,0.0
PLT103909,1,0.0
PLT103917,11,0.18181818181818182
PLT103931,1,0.0
PLT103937,7,0.14285714285714285
PLT103938,1,1.0
PLT103940,1,0.0
PLT103950,1,0.0
PLT103959,1,0.0
PLT103962,1,0.0
PLT103970,1,0.0
PLT103972,1,0.0
PLT103973,1,0.0
PLT103981,1,0.0
PLT103982,1,1.0
PLT103996,1,0.0
PLT103997,1,0.0
PLT103998,6,0.0
PLT104001,2,0.0
PLT104007,16,0.1875
PLT104017,1,0.0
PLT104018,8,0.0
PLT104021,11,0.18181818181818182
PLT104033,1,0.0
PLT104045,1,0.0
PLT104048,1,0.0
PLT104055,1,0.0
PLT104066,16,0.0625
PLT104068,1,0.0
PLT104069,2,0.0
PLT104072,8,0.375
PLT104073,8,0.25
PLT104078,1,0.0
PLT104089,1,0.0
PLT104090,1,0.0
PLT104100,2,0.5
PLT104102,1,0.0
PLT104109,2,0.0
PLT104113,12,0.25
PLT104115,1,0.0
PLT104121,1,0.0
PLT104123,11,0.18181818181818182
PLT104127,1,0.0
PLT104141,16,0.3125
PLT104143,1,1.0
PLT104147,10,0.3
PLT104159,1,0.0
PLT104160,1,0.0
PLT104161,9,0.1111111111111111
PLT104170,10,0.2
PLT104174,1,0.0
PLT104175,1,0.0
PLT104176,9,0.1111111111111111
PLT104182,2,0.0
PLT104184,12,0.08333333333333333
PLT104191,1,1.0
PLT104192,1,0.0
PLT104193,9,0.1111111111111111
PLT104201,1,0.0
PLT104202,11,0.18181818181818182
PLT104207,1,0.0
PLT104215,1,0.0
PLT104216,1,0.0
PLT104225,1,0.0
PLT104240,1,0.0
PLT104241,1,0.0
PLT104245,6,0.3333333333333333
PLT104248,1,0.0
PLT104249,9,0.1111111111111111
PLT104251,1,0.0
PLT104256,10,0.2
PLT104257,9,0.1111111111111111
PLT104261,2,0.5
PLT104263,7,0.14285714285714285
PLT104267,1,0.0
PLT104273,11,0.09090909090909091
PLT104279,1,0.0
PLT104281,1,0.0
PLT104284,1,0.0
PLT104287,3,0.0
PLT104289,13,0.07692307692307693
PLT104305,14,0.14285714285714285
PLT104306,1,0.0
PLT104308,1,0.0
PLT104312,1,0.0
PLT104322,14,0.14285714285714285
PLT104325,1,0.0
PLT104331,2,0.0
PLT104334,1,0.0
PLT104341,1,0.0
PLT104347,1,0.0
PLT104350,1,0.0
PLT104358,1,0.0
PLT104361,1,0.0
PLT104363,1,0.0
PLT104369,1,0.0
PLT104373,1,0.0
PLT104392,1,0.0
PLT104395,1,0.0
PLT104408,1,0.0
PLT104412,2,0.0
PLT104427,1,0.0
PLT104430,14,0.14285714285714285
PLT104437,1,1.0
PLT104442,1,0.0
PLT104446,1,1.0
PLT104459,1,0.0
PLT104462,1,0.0
PLT104465,1,0.0
PLT104466,1,0.0
PLT104467,2,0.0
PLT104468,1,0.0
PLT104473,1,0.0
PLT104475,6,0.0
PLT104476,1,0.0
PLT104483,1,0.0
PLT104484,7,0.0
PLT104495,1,0.0
PLT104500,1,0.0
PLT104505,1,0.0
PLT104506,1,0.0
PLT104508,1,0.0
PLT104511,11,0.18181818181818182
PLT104513,1,0.0
PLT104515,10,0.0
PLT104529,2,0.5
PLT104531,1,0.0
PLT104535,1,0.0
PLT104537,1,0.0
PLT104540,1,0.0
PLT104543,1,0.0
PLT104548,2,0.0
PLT104550,2,0.0
PLT104556,1,0.0
PLT104558,1,0.0
PLT104567,1,0.0
PLT104569,5,0.4
PLT104585,1,1.0
PLT104592,1,0.0
PLT104609,1,0.0
PLT104615,1,0.0
PLT104634,1,0.0
PLT104638,1,0.0
PLT104643,1,0.0
PLT104649,1,0.0
PLT104650,1,0.0
PLT104652,1,0.0
PLT104653,1,0.0
PLT104654,10,0.1
PLT104662,2,0.0
PLT104668,1,0.0
PLT104674,1,0.0
PLT104686,1,0.0
PLT104687,1,0.0
PLT104688,1,0.0
PLT104697,1,0.0
PLT104701,1,0.0
PLT104717,11,0.18181818181818182
PLT104718,12,0.0
PLT104732,1,0.0
PLT104737,1,0.0
PLT104745,1,0.0
PLT104746,1,0.0
PLT104750,1,0.0
PLT104753,1,0.0
PLT104755,6,0.0
PLT104757,1,0.0
PLT104758,1,1.0
PLT104763,14,0.5
PLT104765,1,0.0
PLT104770,2,0.0
PLT104773,1,0.0
PLT104775,1,0.0
PLT104777,1,0.0
PLT104779,4,0.25
PLT104781,1,0.0
PLT104782,14,0.14285714285714285
PLT104783,1,0.0
PLT104792,5,0.0
PLT104795,1,1.0
PLT104797,1,0.0
PLT104798,9,0.0
PLT104802,1,0.0
PLT104813,1,0.0
PLT104815,1,0.0
PLT104817,1,0.0
PLT104822,1,0.0
PLT104825,1,0.0
PLT104829,1,0.0
PLT104833,1,1.0
PLT104835,1,0.0
PLT104849,2,0.0
PLT104857,1,0.0
PLT104862,1,0.0
PLT104866,1,0.0
PLT104868,1,0.0
PLT104877,8,0.125
PLT104884,2,0.0
PLT104886,1,0.0
PLT104894,1,0.0
PLT104908,1,0.0
PLT104910,1,0.0
PLT104914,1,0.0
PLT104918,15,0.2
PLT104923,1,0.0
PLT104924,1,0.0
PLT104932,12,0.08333333333333333
PLT104935,1,0.0
PLT104937,1,1.0
PLT104944,7,0.14285714285714285
PLT104945,1,0.0
PLT104955,1,0.0
PLT104957,1,0.0
PLT104961,1,0.0
PLT104964,1,0.0
PLT104968,4,0.25
PLT104971,4,0.25
PLT104972,1,0.0
PLT104973,1,0.0
PLT104977,1,0.0
PLT104985,1,1.0
PLT104987,8,0.25
PLT104990,7,0.0
PLT104996,1,0.0
PLT104998,1,0.0
PLT105002,2,0.0
PLT105004,1,0.0
PLT105008,1,0.0
PLT105012,1,0.0
PLT105020,1,0.0
PLT105026,1,0.0
PLT105028,1,0.0
PLT105032,1,1.0
PLT105036,1,0.0
PLT105038,12,0.08333333333333333
PLT105045,1,0.0
PLT105049,1,0.0
PLT105053,8,0.25
PLT105057,10,0.2
PLT105058,1,0.0
PLT105063,1,0.0
PLT105065,1,0.0
PLT105071,1,0.0
PLT105072,5,0.0
PLT105075,1,0.0
PLT105079,1,0.0
PLT105092,1,0.0
PLT105100,1,0.0
PLT105107,1,0.0
PLT105115,1,0.0
PLT105121,10,0.2
PLT105125,3,0.3333333333333333
PLT105127,1,0.0
PLT105131,1,1.0
PLT105137,1,0.0
PLT105138,1,0.0
PLT105141,9,0.0
PLT105142,9,0.2222222222222222
PLT105144,1,0.0
PLT105148,8,0.25
PLT105159,1,0.0
PLT105160,11,0.18181818181818182
PLT105162,1,0.0
PLT105166,1,0.0
PLT105167,1,0.0
PLT105170,1,0.0
PLT105179,1,0.0
PLT105182,1,0.0
PLT105187,1,0.0
PLT105200,4,0.0
PLT105202,8,0.25
PLT105206,1,0.0
PLT105214,9,0.2222222222222222
PLT105218,1,0.0
PLT105224,14,0.21428571428571427
PLT105227,1,0.0
PLT105228,10,0.1
PLT105229,1,0.0
PLT105234,1,0.0
PLT105237,12,0.08333333333333333
PLT105244,1,0.0
PLT105250,16,0.1875
PLT105253,1,0.0
PLT105254,1,0.0
PLT105259,1,0.0
PLT105266,1,0.0
PLT105267,1,0.0
PLT105270,1,0.0
PLT105281,1,0.0
PLT105284,7,0.14285714285714285
PLT105289,1,0.0
PLT105301,2,0.0
PLT105314,1,0.0
PLT105318,1,0.0
PLT105320,1,0.0
PLT105321,1,0.0
PLT105322,1,0.0
PLT105328,1,0.0
PLT105330,1,0.0
PLT105335,1,0.0
PLT105338,1,0.0
PLT105340,1,0.0
PLT105349,1,0.0
PLT105358,1,0.0
PLT105364,1,0.0
PLT105365,1,0.0
PLT105366,1,0.0
PLT105368,1,1.0
PLT105369,1,0.0
PLT105371,1,0.0
PLT105379,8,0.125
PLT105380,1,0.0
PLT105383,1,0.0
PLT105389,1,0.0
PLT105390,1,0.0
PLT105391,4,0.25
PLT105395,1,0.0
PLT105399,1,0.0
PLT105401,1,0.0
PLT105403,3,0.0
PLT105406,1,0.0
PLT105417,1,0.0
